#Procedure: <__main__.RandomProcedure>
#Parameters:
#	Charge rate: 0.6 C
#	Charge limit: 3.8 V
#	Discharge rate: 0.2 C
#	Discharge limit: 2 V
#	Float voltage: 3.6 V
#	Float cutoff: 0.55 A
#	Nominal: 25.3 Ah
#Data:
Time,Discharge_time,Voltage,Current,Charge,Ah_V,SoC
1635.3155074170209,1139.302867292019,3.291,-5.061,-1.6017781878316593,0.0070227979019968365,93.66886091766142
1637.858536306012,1141.8458961810102,3.291,-5.062,-1.6053539690083463,0.007025110366771973,93.65472739522393
1640.4015702890174,1144.3889301640156,3.291,-5.061,-1.6089290509494547,0.00702373662300292,93.64059663656342
1642.9443355740223,1146.9316954490205,3.292,-5.061,-1.6125037551459573,0.007036819284454071,93.62646737096459
1645.487122927996,1149.4744828029943,3.291,-5.062,-1.6160791966975727,0.00702444312694584,93.61233519091869
1648.0300860970165,1152.0174459720147,3.291,-5.061,-1.6196541790860206,0.007023541038207861,93.59820482574696
1650.5729141980119,1154.56027407301,3.291,-5.063,-1.6232303842736149,0.007025943394095,93.58406962737702
1653.1157710000116,1157.1031308750098,3.29,-5.061,-1.6268052171277596,0.007009476184597306,93.56993985324996
1655.658718346007,1159.6460782210052,3.292,-5.061,-1.6303801772716715,0.007037323117936591,93.55580957600131
1658.2015736030007,1162.188933477999,3.291,-5.062,-1.6339557143024779,0.007024630708853179,93.54167701856728
1660.7443939369987,1164.731753811997,3.29,-5.061,-1.63753049588869,0.0070093756592394555,93.52754744708027
1663.2871492670092,1167.2745091420074,3.29,-5.063,-1.64110659873198,0.007011966359391841,93.51341265323329
1665.830171573005,1169.8175314480031,3.29,-5.061,-1.644681664257159,0.007009932402311656,93.49928195945787
1668.3730970860051,1172.3604569610034,3.29,-5.061,-1.6482565937075184,0.007009665588940173,93.4851518035276
1670.9159204240132,1174.9032802990114,3.29,-5.062,-1.6518320858566842,0.00701076891993279,93.47101942349137
1673.4587295940146,1177.4460894690128,3.289,-5.061,-1.655406851748178,0.006995627967697973,93.45688991403883
1676.0015841310087,1179.988944006007,3.289,-5.063,-1.6589830941150672,0.006998517352033744,93.44275456871515
1678.5444223050145,1182.5317821800127,3.289,-5.061,-1.662557900781357,0.006995707761819442,93.4286248980974
1681.0871820500179,1185.074541925016,3.291,-5.061,-1.6661325971895409,0.007022979190931197,93.41449566328245
1683.6300801690086,1187.6174400440068,3.29,-5.062,-1.6697081944890773,0.007010975097130154,93.4003628676321
1686.172928688,1190.1602885629982,3.289,-5.061,-1.6732830156986926,0.006995736222339295,93.38623313953086
1688.7156464330037,1192.703006308002,3.289,-5.063,-1.6768590656828466,0.006998140869185706,93.37209855461326
1691.2582055660023,1195.2455654410005,3.289,-5.062,-1.6804341863304129,0.0069963222065877375,93.35796764296279
1693.8011354330229,1197.788495308021,3.291,-5.061,-1.6840091219017992,0.007023449059698284,93.34383746283874
1696.3438874410058,1200.331247316004,3.289,-5.062,-1.687584513753024,0.006996852937817777,93.32970547923706
1698.8878443709982,1202.8752042459964,3.289,-5.063,-1.6911623065131773,0.007001551389732346,93.31556400587677
1701.4297168760095,1205.4170767510077,3.289,-5.061,-1.6947357556098057,0.006993051069722789,93.30143970114702
1703.9723580410064,1207.9597179160046,3.29,-5.061,-1.6983102853142638,0.007008881773447324,93.28731112524007
1706.5152982790023,1210.5026581540005,3.289,-5.061,-1.701885235465513,0.006995988554303891,93.2731808874881
1709.0583652450005,1213.0457251199987,3.288,-5.063,-1.7054617765901932,0.00698543188414097,93.2590443613036
1711.6011905110208,1215.588550386019,3.288,-5.062,-1.7090372714503586,0.006983388398760376,93.24491197055195
1714.1439321080106,1218.1312919830089,3.29,-5.061,-1.71261194234546,0.007009158617846067,93.23078283657921
1716.6867625890009,1220.674122463999,3.289,-5.062,-1.7161874445384524,0.006997068870826576,93.21665041684406
1719.2296533790068,1223.217013254005,3.288,-5.061,-1.719762325174069,0.006982188741438761,93.20252045385745
1721.7724506430095,1225.7598105180077,3.288,-5.063,-1.7233384869928596,0.006984691052325205,93.1883854269057
1724.3152462220169,1228.302606097015,3.288,-5.061,-1.726913233777681,0.00698192731410387,93.1742559929736
1726.858289102005,1230.8456489770033,3.288,-5.061,-1.7304883282264643,0.006982606345280118,93.16012518487564
1729.4009684380144,1233.3883283130126,3.289,-5.061,-1.734062911593004,0.006995270776007364,93.1459963968656
1731.9436859560083,1235.9310458310065,3.288,-5.061,-1.7376375486370503,0.006981712976653114,93.1318673966915
1734.4865132110135,1238.4738730860117,3.288,-5.062,-1.7412130462939495,0.006983393861130955,93.11773499488558
1737.029383598012,1241.0167434730101,3.288,-5.063,-1.7447893109521087,0.0069848919104670715,93.10359956145412
1739.572170792002,1243.5595306670002,3.288,-5.063,-1.7483654586085453,0.006984663391477741,93.08946459048006
1742.1149700600072,1246.1023299350054,3.288,-5.062,-1.7519409169126126,0.006983317000131422,93.07533234421892
1744.6579728040088,1248.645332679007,3.289,-5.061,-1.7555159549368882,0.006996160517173272,93.06120175914273
1747.200897193019,1251.1882570680173,3.288,-5.062,-1.759091589174991,0.006983660621294551,93.04706881749016
1749.7439527870156,1253.7313126620138,3.287,-5.061,-1.7626667014975512,0.006969029868538282,93.03293793874485
1752.288806518016,1256.2761663930141,3.287,-5.063,-1.7662457555086775,0.006976713471981089,93.01879148020285
1754.8296815430222,1258.8170414180204,3.287,-5.061,-1.7698178023146653,0.0069630542027055466,93.00467271812384
1757.3724926779978,1261.359852552996,3.288,-5.061,-1.7733925709685852,0.0069819700271873345,92.99054319775263
1759.9153090930195,1263.9026689680177,3.288,-5.062,-1.7769680533832628,0.006983364091167346,92.97641085619264
1762.4580059690052,1266.4453658440034,3.287,-5.061,-1.7805426614080861,0.006968046832014127,92.96228197071903
1765.0008674809942,1268.9882273559924,3.286,-5.063,-1.7841189135845308,0.00695768905923069,92.9481465866224
1767.5437488339958,1271.531108708994,3.287,-5.062,-1.7876944873092235,0.00696992928790014,92.93401388415326
1770.0864833680098,1274.073843243008,3.287,-5.061,-1.7912691482749583,0.006968150030671941,92.91988478942704
1772.62936226101,1276.6167221360083,3.286,-5.062,-1.794844718540616,0.006956362384547967,92.90575210062998
1775.1722670680028,1279.159626943001,3.286,-5.063,-1.7984210316066727,0.006957807521511151,92.89161647586295
1777.7152380190091,1281.7025978940073,3.286,-5.062,-1.8019967313161154,0.006956614220705688,92.87748327543038
1780.257852153998,1284.2452120289963,3.287,-5.062,-1.8055719293025916,0.0069691968547293814,92.86335205809253
1782.8008977690188,1286.788257644017,3.286,-5.061,-1.8091470275963748,0.006955444151329245,92.84922123479694
1785.3438404629997,1289.3312003379979,3.286,-5.063,-1.8127233939462706,0.006957911186567867,92.83508539942186
1787.8866949290095,1291.8740548040078,3.286,-5.062,-1.8162989298648655,0.006956295561468896,92.82095284638393
1790.4295682060183,1294.4169280810165,3.287,-5.061,-1.819873785880127,0.006968530244174447,92.80682298071096
1792.9723856700002,1296.9597455449984,3.286,-5.062,-1.8234492697697593,0.00695619433780614,92.7926906333211
1795.5150696939963,1299.5024295689946,3.286,-5.061,-1.8270238597268271,0.006954455169392753,92.77856181926155
1798.0579504000198,1302.045310275018,3.285,-5.063,-1.8306001388975484,0.006944231399458796,92.76442632846819
1800.6008413500094,1304.5882012250077,3.285,-5.062,-1.8341757261166727,0.00694288780412498,92.75029357266136
1803.1435954780027,1307.130955353001,3.287,-5.061,-1.8377504146282766,0.006968203726323279,92.73616436905819
